source,target,comment,task
"There are many ways that an A&R can successfully become an independent advisor. This only works best if that A&R has many certified credentials. A&R business is one aspect in the music industry that is often overlooked. Many times artists are under developed and lack many skills that most successful artists have had in the past. Professionalism, performance, and grace are some of the missing keys that most new artists lack due to heavy pressure from labels to launch and release artists without proper preparation. Quick sales are more prevalent in the business over the longevity of a career of an artist.  Many label executives control and dominate the musical market and A&Rs are often left out of the conversation. A&Rs are the thread of the label. They make everything work smoothly and ensure that the artist can sustain long nights on the road, performing in front of thousands of people, and that they have the best music and lyrics for their albums.","There are a plethora of ways for an A&R to successfully transition into becoming an independent advisor. This process works best if the A&R has plenty of certified credentials already under their belt. A&Rs are often an overlooked part of the music industry, but they do critical work on its behalf. There have been plenty of artists whose work suffered because they were under-developed and were never given the opportunity to acquire many of the skills that the most successful artists in the past had been able to accumulate.  Professionalism, performance, and grace are just a few examples of the talents that most modern artists struggle to learn due to heavy pressure from labels to launch and release artists without proper preparation. The industry today seems to value the profit to be made by many quick sales over the longevity and well-being of the artists themselves. This lack of investment in the artists’ well-being can in turn have a devastating effect on their long-term career prospects. Many label executives dominate and control the musical market and are too often able to cut A&Rs out of conversation entirely. This is an unfortunate loss for all parties involved, because A&Rs are the thread of the label. They are responsible for ensuring that everything runs smoothly between the artist and the label, taking care of the artist’s needs while balancing the responsibilities of the label. A&Rs are the reason that artists can manage long nights on the road, enduring long tours, and they make sure that those artists are prepared to perform before thousands of people when they arrive, giving those folks the very best music, lyrics, and performance possible, time and time again.
A&Rs are also responsible to the record labels for much more than the general well being of the artists they’re assigned. In fact, they generally end up building up their own contacts and relationships with the artists they work with since they typically act as talent scouts for their labels.",Elaborate on the role of A&Rs in the music industry.,elaborate
"For example, in many cases, families have a very hectic schedule once they begin homeschooling. Co-ops, classes, private lessons, and field trips begin to fill your calendar. Park days and play dates are common as well. Do you want a curriculum that will allow for missed days and flexible design should you need time away from the lesson planning? Or, do you prefer something that will give you a rigid structure so you know what to expect from day to day?","So, for example, in many of the cases, you will see that families have a very hectic and tight schedule once they begin homeschooling. There are a lot of co-ops, varied classes, private or semi-private lessons, and field trips that begin to fill up your calendar, and you tend to get busier. You will see that park days and play dates for children are extremely common as well. Organizing it all takes time and effort. Then there are decisions to be made about whether you want a curriculum that will allow for missed days and flexible design should you need time away from the lesson planning due to some sudden changes in life. Or, do you have a preference for something that will give you a rigid structure, routine, and discipline every day so you know what to expect on a day-to-day basis? These are the questions that need to be answered, and you will require meticulous and end-to-end planning before starting off.",Elaborate on how to plan homeschooling,elaborate
"After I feel we have come up with enough points to address, we will then decide which ones need immediate attention. These are the ones that I feel create the most negativity for our team. Negativity can increase drastically if these points aren’t addressed. Knowing what people are negative about is the first step in solving any problem, and we must make sure these points are confidential. We do not, and would not ,want any more negativity when we are trying to combat the problem. We need to make sure every member of our team feels safe, secure, and like they are a valuable part of the team.","After I feel that we have come up with enough points and issues to address, we will then go on to decide which ones need our most immediate attention. These issues are the ones that I feel create the most negativity for our team, hamper our growth, and impact interpersonal relationships. It is a known fact that negativity can increase drastically if these points are not addressed at this juncture. It would take on a gigantic form and affect everyone on the team, causing our efficiency to decrease substantially. Knowing, understanding, and acknowledging what people are negative and critical about is the first step in solving any problem or issue in a team setting. Another important thing is that we must make sure these points are confidential, as they may be sensitive in nature. Also, we should make sure that we do not and would not want any more negativity when we are trying to combat and address the problems in the team. We should work together with an open mind rather than indulge in name-calling. We are not trying to accuse anyone but rather try to find a solution. We need to make sure that every member of our team feels safe and secure and believes that they are a valuable part of the team.",Expand on how addressing problems can help a team,elaborate
"If there are multiple sprints, it may be prudent to make sure that the appropriate areas of the system are scoped and a test case is ready. As sprints are normally quite short and testing time is limited, any issues not resolved will have to be pushed to the next cycle, meaning that there will not be time to re-write the cases. It is important to check that the test cases are meeting client requirements.","If there are multiple sprints, it may be prudent to make sure that the appropriate areas of the system are scoped and a test case is ready. This will be expedient to the whole process and will assist in becoming more time efficient. As sprints are normally quite short and testing time is limited, any issues not resolved will have to be pushed to the next cycle, meaning that there will not be time to re-write the cases. This would be an egregious error, because it will make all the prior work obsolete. In addition, it may also create distrust between us and the client. They may become doubtful if we do not perform at our highest levels. Therefore, it is important that there is an established process that is efficient and optimal. Also, it is important to check that the test cases are meeting client requirements. If they are not, take the feedback the client provides and improve on the next task that they assign to us. ",Add more details about sprints.,elaborate
"Well, I find that the twenty years that I have been in the workforce.  The biggest problem with companies is respect and communication.  If you have a company that is a big office corporation, there is little to no communication among the co-workers.  They are just handed assignments, and if they have questions, depending on who you ask, you are going to get different answers.  Everyone is not on the same page.  Everyone wants to do it their own way.","I have noticed a few recurring themes throughout my twenty year tenure in the workforce. One of these is that the largest issue companies seem to suffer from is a lack of internal respect and communication. If a company conducts its business in a large, corporate setting then there is often little to no communication or rapport between co-workers. Many times they are simply handed assignments with little to no instruction provided, and if they attempt to seek clarification on any point they are liable to receive wildly differing answers depending on who they ask. This creates an unharmonious work environment in which every employee seeks to do their work in their own way, with no overall cohesion guiding the project towards an efficient and effective end. This sort of disunity often results in major miscommunications and roadblocks to projects that could have easily been avoided with more dialogue between team members and project managers. At times these misunderstandings can even derail entire projects, resulting in enormous delays and losses for the company as a whole.",Elaborate on the dangers of miscommunication and disharmony in the workplace.,elaborate
"Certain groups also exist which collate this information, such as the Arts and Heritage Volunteer Group at the University of Edinburgh, where they find and publish these opportunities from a range of sources. These often require a simple link on Facebook for access to all their information and are a really great resource.","Certain groups exist that also collate this information, such as the excellent Arts and Heritage Volunteer Group at the prestigious University of Edinburgh, a public research university based in Edinburgh, Scotland. Here, what they do is that they find and publish these meaningful opportunities from a range of sources, which may include online as well as local or personal connections. These opportunities often require posting just a simple link on the popular social media platform, Facebook, for access to all the specific information related to the opportunity at hand. These groups are a really great resource for those seeking excellent volunteer opportunities for job-related or charitable reasons.",Elaborate on how to find meaningful volunteering opportunities,elaborate
"Coverage can be categorised according to the type of item in which they have appeared. In the press, these items consist of: news items (generally in the earlier sections of the paper), features (larger scale articles not necessarily dealing with a current issue), editorials (this is the editorial column of the paper itself - what the editor or lead writer thinks about a given issue), and comments (where individual writers are given the opportunity to lay out their opinion regarding a company, news story, or other issue).","In order to understand the different categories of news coverage, they will be addressed in the following list: news items, features, editorials, and comments. First on the list are news items. News Items consist of the early sections of the paper. They consists on common topics such as government, politics entertainment, economy, etc. In addition, this section occasional mentions unusual events, such as UFO. Second on the list is features. Features contrast with typical news items because they present newsworthy evens and information through a narrative story. This narrative has a plot and story characters that is completely factual. Third on the list are editorials. Editorials are when an editor writes about recent and issues. It does not so much relate facts, but rather the editors’s opinion about those facts and issues. Fourth on the list is comments. Comments are where individual writers are provided the opportunity to write about their opinions regarding a company, news story, or other issues. ",Add a list talking about the types of news stories.,elaborate
"The second reason that athletes are not successful at tryouts is because they have not perfected the skills that they do have. Even if a kid has been practicing their new skill all year long and they feel that they are able to perform that skill at tryouts, it is often the skills that they have been doing for years that hold them back. A kid can throw a perfect back handspring at tryouts, but if they have not taken the time to perfect their back walkover or front walkover, we will be less likely to place that kid on a level two team, because we need to see them perfect the skills for level one first. This is not meant to hold kids back, but rather encourage them to perfect their skills before moving up in difficulty. This also ensures that they will be able to continue to move up in difficulty, because they have mastered the basics. At all levels, it is important to have the skills from previous levels, because they will still be utilized. It is also important to have these skills because it will make it much easier to learn more difficult skills in the future. Everything comes down to body awareness and control. If a basic skill cannot be performed with body control, that problem will stick with an athlete in every new skill they learn. They may have beautiful tumbling, but a lack of body control will show up when learning to twist or tumble out of jumps.","The second reason that certain athletes can have a difficult time when finding success during their tryouts is due to the fact that they have not been able to perfect the learned skills that they already have within their toolbox of moves. Even in the case of a kid that has been practicing their newly learned skill throughout the entire year, to the point where they have the confidence in their ability to where they want to display themselves performing that skill during their tryouts. It is not rare that the other, older learned skills that they think they have been fine at performing for years, continually keep holding them back from the rest of the kids that may actually have mastered it. A student can be able to throw a back handspring at tryouts without a single misstep or mistake, but if they have not taken it upon themselves to use their time and practice to perfect something such as their back walkover or front walkover, there is less of a chance that will be want to place that student on a team in their second level, due to the fact that we are required to witness them first perfect the rudiments from the first level. This is not served as a means for us to not let kids prosper, but instead try to motivate them to make attempts in perfecting the skills they have learned before moving up and learning more difficult ones that they may not need to learn yet. This is also used as a way to make certain that the students will have the ability to continue to constantly push themselves up in how difficult their moves are, due to the fact that they have been able to perfect the elementary stuff. At every single level of this, it is incredibly important to obtain what you have learned from the levels prior to the one you are on, due to the fact that they will continue to be utilized. It is also very important to obtain and retain what you have learned due to the fact that it will not be very hard at all to educate yourself and retain more difficult skills in the inevitable future. It all comes down to being in control and aware of what your body is doing and how it is doing it. If a rudimentary skill is not able to be performed with control of one’s body, that problem will repeat in every new skill an athlete learns from that point onward. They have just as much of a chance of having beautiful tumbling as a lack of body control showing up when attempting to learn how to do a twist or tumble when exiting their jumps.Practice makes perfect, but it has to be the right type of practice. If you practice the wrong thing for years, you are perfectly mistaken.
",Describe more about possible reasons why athletes are not successful.,elaborate
"Such a business trip shall include a minimum two-day stay in the hotel that is the nearest to the performance location or, if possible, at the same hotel where the performance will take place. If our manager decides that he must stay longer in order to organize and control the process on the site, all additional days of the hotel stay will be covered by us.","Such a business trip shall include a minimum two-day stay in the hotel that is the nearest to the performance location or, if possible, at the same hotel where the performance will take place. While we are hoping to obtain a room at that hotel, it is possible that will we have to obtain a room that might be walking distance. However, if it is not walking distance or the weather becomes inclement, we will have to make sure we allot the correct amount of time necessary to arrive to the performance on time. If our manager decides that he must stay longer in order to organize and control the process on the site, all additional days of the hotel stay will be covered by us. Therefore, you do not have to be concerned about losing the hotel room nor having to pay for it by yourself. Furthermore, be prepared to assist on those extra days if it is necessary.",Elaborate on travel expenses,elaborate
"MicroRNAs (miRNAs) are a class of small, non-coding RNA that are known to be post-transcriptional regulators of gene expression through complementary binding to target mRNAs matching a 7nt “seed” sequence. miRNAs have been shown to be involved in a multitude of biological processes, including growth, development, and disease progression. While miRNAs have been extensively studied for their putative role in diseases like cancer or muscular dystrophy, they have been studied less for their roles in muscle growth and regeneration. What I study, and what knowledge I can offer your company, is how miRNAs affect these processes, and how we can best use this knowledge to identify regions of the genome that regulate muscle growth and development.","MicroRNAs (miRNAs) are a certain variety of small, non-coding RNA which are best known for their ability to act as post-transcriptional regulators of gene expression through a process of complementary binding which targets mRNAs matching a 7nt “seed” sequence. miRNAs have been shown to be involved in many different biological processes, including, growth, development, disease progression, and common cellular operations. A significant amount of time and energy has been spent researching the putative effects of miRNA in diseases such as cancer, hepatitis-C, and muscular dystrophy, for good reason. But while many avenues in that field have already been explored, their secrets becoming common biomedical knowledge, comparatively little effort has been placed into researching their roles in muscle growth and regeneration.  My field of study lies in this relatively unexplored niche of biochemistry, which puts me in a position of being able to offer some unique and hard won expertise on the interactions between miRNAs and muscular function. I am  also in a position to be able to offer advice on the best methods of using this niche knowledge to identify key regions of the genome responsible for regulating muscle growth and development. It should not require a particularly active imagination to be able to conjure up the possibilities to be explored, and the financial benefits to be gained, by the company which first unlocks the secrets of muscle growth in the genome.",Elaborate on the function and potential benefits of miRNAs.,elaborate
"For these types of NPRs, you want to use the reason code unable to reroute. This would be one of the few NPRs that it isn’t necessary to forward to delivery research for review. There are also two different types of exchanges: prepaid exchange and advanced exchange. A prepaid exchange would be if the customer needed a different size or a different color. A prepaid exchange would be processed if the exchange is  not our fault. The customer would be charged upfront for the exchange and would be refunded once the original item was returned and processed. An advanced exchange shouldn’t be used very often. This type of exchange would be used if there was a service error on our part. For example, if we sent the wrong item, the wrong color, or if they received a defective product, we would process the exchange as an advanced exchange. These are processed on our courtesy account. This means that the customer isn’t charged upfront. However, they must return the wrong or defective item within thirty days. If the item isn’t returned within thirty days, the credit card on file will be charged for the item that was not returned. It is very important to let the customer know that the item must be returned to our warehouse by mail within thirty days. If returned in a store, the charge will still generate, as we don’t use the same system for mail orders as we do for the store. If this happens, please contact CCL for resolution. It is also a good idea to tell the customer to keep a copy of the tracking number for the return in case  the returned package gets lost or stolen. For packages that are lost or stolen, we will send out a replacement at no charge, as long as the customer doesn’t have another NPR for a stolen package within the last six months. We don’t have a time limit on returns. Returns are always free. Most packages will arrive with a prepaid return label and form. However, to save on costs, packages shipping from a full-time store may not have a prepaid return label and form included. If the customer needs a label, they can go to Nordstrom’s website and type returns in the search box. They will be able to print out as many prepaid return labels and forms as they need here. Returns are processed within ten to fourteen business days. Refunds are automatically issued to the original form of payment on file. If a gift card or Nordstrom note was used, a refund will be issued in the form of a gift card. Gift cards will be shipped to the original shipping address and arrive within three to six business days. Gift recipients are also able to return items by mail and in store, or they can also print out a return label and form from our website. It is very important that they fill out the gift recipient section on the form to ensure that the exchange or refund is shipped to them and not the gift giver. They may also take their return to the store as well. The sales associate may try to locate the original purchase. They may be able to do so with the name and zip code or phone number of the gift giver. If they are unable to locate the order this way, the gift recipient will be refunded the last sale price of the item. For example, if the item is now on sale for 50% less, they will be refunded that amount without proof of purchase. Nordstrom offers in store gift wrapping to customers as a courtesy. Sadly, the gift wrapping service for online orders costs two dollars per order. We understand that this may upset some customers. However, our warehouses aren’t as easily equipped with these supplies or manpower. Customers can also take items that they purchased online to their local Nordstrom for free gift wrapping. Nordstrom offers a wonderful rewards program for our loyal customers. It is called Nordstrom Rewards. Customers can earn two points per dollar spent when using a Nordstrom brand payment method. This can be the Nordstrom Visa, debit card, or retail card. This doesn’t include a gift card. If a customer would like to use their own credit or debit card, they earn one point per dollar. For every 2,000 points earned, they will receive a twenty dollar note in the mail or via email. These notes can be used online and in stores — at Nordstrom, Nordstrom Rack, or HauteLook. These expire after one year and cannot be reissued if they expire before the customer uses the note. If you receive any calls from customers regarding their credit account, we don’t have access to that information. In such cases, please transfer them to Nordstrom Credit. They are also available twenty-four hours a day, seven days a week. Should you be working in the email queue and receive a time sensitive email, please call the customer.","For these types of NPRs, you will want to use the reason, “code unable to reroute”. This would be one of the few types of NPRs where it is not necessary to forward the information to deliver to research for review. There are also two different types of exchanges, which are known as prepaid exchanges and advanced exchanges. For example, a prepaid exchange would be if the customer needed a different size or a different color. Another way of looking at the difference between the two types of exchanges is that a prepaid exchange would be processed if the exchange is not occurring as a result of a mistake on our end. In such cases, the customer would be charged upfront for the exchange and would be refunded once the original item was returned and processed. An advanced exchange, on the other hand, should not have to be used very often. Advanced exchanges are a type of service offered by some companies where they will send a replacement product to a customer before the customer returns the defective product. This is done so that the customer is not inconvenienced and can continue using the replacement product. At the same time, they arrange to return the defective one. With advanced exchange, the customer usually provides a credit card or other form of payment as collateral, which is charged if they do not return the defective product within a provided timeframe. The customer is also typically responsible for packaging and returning the faulty goods and may be charged additional fees if not. In contrast to a prepaid exchange, this type of exchange would be used if there was a service error on our part. For example, if we sent the wrong item, the wrong color, or if they received a defective or damaged product, we would then have to process the exchange as an advanced exchange. These kinds of exchanges are processed on our courtesy account. This means that the customer is not charged upfront. However, they must return the wrong or defective item to us within thirty days. If the item isn’t returned within thirty days, the credit card on file will be charged for the item that was not returned. It is very important to let the customer know that the item must be returned to our warehouse by mail within thirty days.
 It is very important for you to be aware that if the items to be returned as part of the advanced exchange are returned in a store, the charge will still generate. This is because we don’t use the same system for mail orders as we do for the store. If this happens, it may become necessary for you to contact a customer care liaison (CCL) for a resolution. A customer care liaison is a representative who acts as a bridge between a company and its customers. The role of a customer care liaison is to ensure that the needs and concerns of customers are heard and addressed by the company in a timely and effective manner. Customer care liaisons are responsible for handling customer complaints, providing support and assistance, and resolving any issues between customers and the company. They act as a point of contact for customers, helping coordinate communication and ensuring that customers remain informed of any progress or updates regarding their issues or concerns. In addition to working with customers, customer care liaisons also work closely with other departments within the company, such as sales, marketing, and product development. They provide customer feedback and insights that can help the company improve its products and services and its overall customer experience. The role of a customer care liaison is to ensure that customers feel heard, valued, and supported by the company and to work towards building strong and positive relationships between customers and the company.
It is also a good idea to tell the customer to keep a copy of the tracking number for the return in case the returned package gets lost or stolen. For packages that have become lost or stolen, we will send out a replacement at no charge, as long as the customer has not claimed another NPR for a stolen package within the last six months. We do not have a time limit on returns and always ensure that returns are free. The vast majority of packages will arrive with a prepaid return label and form. However, in order to save on costs, packages that have been shipped from a full-time store may not have a prepaid return label and form included. If the customer is in need of a label, they can go to Nordstrom’s website and type  the word “returns” in the search box. They will then be directed to a service which allows them to be able to print out as many prepaid return labels and forms as they need. Returns are typically processed within ten to fourteen business days. Refunds are then automatically issued to the original form of payment on file. If a gift card or Nordstrom note was used, a refund will also be issued in the form of a gift card. Gift cards will be shipped to the original shipping address and usually arrive within three to six business days. Gift recipients are also able to return items by mail and in store, or they have the option to print out a return label and form from our website. It is very important that they fill out the gift recipient section on the form to ensure that the exchange or refund is shipped to them and not to the original gift giver. As previously mentioned, gift recipients may also take their return to the store as well, at which time the sales associate may try to locate the original purchase. The associate may be able to do so successfully if they use the name and zip code or phone number of the gift giver. If, on the other hand, they are unable to locate the order in this way, the gift recipient will then be refunded the last sale price of the item. For example, if the item is now on sale for 50% less, they will be refunded that amount without proof of purchase. 
Nordstrom also offers in store gift wrapping to customers as a courtesy. Sadly, the gift wrapping service for online orders is not offered for free, instead costing two dollars per order. We understand that this may upset some of our valued customers. However, our warehouses are not as easily equipped with the supplies or manpower necessary to offer such services to the same degree as our in store locations. However, customers are allowed to take the items that they purchased online to their local Nordstrom store for free gift wrapping services. Nordstrom also offers a wonderful rewards program for our loyal customers. It is called Nordstrom Rewards. Through Nordstrom Rewards, customers can earn two points per dollar spent when using any Nordstrom brand payment method. These branded payment methods can be the Nordstrom Visa, debit card, or retail card. It is important to note that this list doesn’t include a gift card, however. If a customer would like to use their own credit or debit card instead, they will earn one point per dollar. For every 2,000 points earned, our customers will receive a twenty dollar note in their mail or via email. These notes are valid to be used online and in any in store locations including Nordstrom, Nordstrom Rack, or HauteLook. These notes will expire after one year and cannot be reissued if they expire before the customer uses the note. If you receive any calls from customers regarding their credit account, let them know that we do not have any access to that information. In such cases, please transfer them to Nordstrom Credit. They are also available twenty-four hours a day, seven days a week. Should you be working in the email queue and receive a time sensitive email, please call the customer. This is because people are far more likely to respond to phone calls in a timely manner, whereas emails often go ignored or unnoticed for verying lengths of time.",Elaborate on the processes involved in conducting returns and exchanges throughout Nordstrom's business model.,elaborate
"The world of the Internet is very wide. In our era you will find a lot of interesting technology that would complete your day-to-day life. This new trend is leveraging the concept of the Internet of Things. These devices that were in the past not connected to the Internet are now available in all retailers. This becomes more and more popular and it all started with the fitness bands. These are bands that let you count all your steps and activity. At first these devices were not very smart or powerful but they were good at doing simple things. Pedometers are the ancestors of fitness bands. The development of these bands is quite impressive. They now have a lot of features and capabilities. People don’t use them to their full potential. The data that is provided by those type of bands can be analysed in such a way that would allow the user to deeply understand their habits. For example, if you see that the step count is very low, you can assume that someone is either sleeping or sedentary. The combination of those steps and other metrics would give you the answer but if we focus on the steps for the moment, you will realise that most of the time people have very similar habits. Their steps could be the same over and over. This is normal and quite expected. Based on that information a model can be created where we can predict what the user will do. For example if a person goes to work every morning at 8:00 a.m. for a long time, the day that the steps count doesn’t go up around that time will allow us to determine that a break in the habit occured. For more information, you can combine the steps with information like the heart rate. Nowadays the devices have those markers quite easily available. The heart rate is even more powerful that the steps. There are only a few moments that can be defined when the heart rate is changing. Either someone is awake and moving around (not exercising), going to the gym, doing exercises, or lying in bed. The last is quite easily identifiable. If you correlate the heart rate with the time of the day, you can assume that the person is sleeping with a good confidence score. The other opportunity that the measurement of the heart rate  allows is to see if someone is under pressure or under stress. By combining the steps with the heart rate, you can have a model that is quite accurate for any sort of activity. For example, if the step count is very low and the heart rate is low, it’s quite obvious that the person is sleeping. If the heart rate is high but step count is low, it’s likely to be gym exercise or treadmill. I’ve never seen a low heart rate and high steps,but I would guess it’s probably an athlete going for a run that doesn’t impact his heart rate. The risk of having those devices collect more data is significant. The manufacturers haven’t used the full potential of the data that is available to them. Instead of analysing and reviewing deeply the information that they have they tend to rush into having more sensors. Those sensors are not always the answer. They can consume battery and therefore not be as good of an option as we think. Unfortunately, manufacturers have to innovate. To me the real innovation is having the ability to make the data talk and to be very good at using the existing technology that allows you to move forward. Being comfortable with the basic technologies is critical for today’s companies. The new and shiny gadgets are not a real demonstration of a company’s innovation. We have had flexible screens for many years but the utilisation as of today is still to be proven. The innovative department of Google called Google X has released nice gadgets from their work but they are not in any way, shape, or form usable by the end users. This is not the future that we should have, and our companies should be more focused on the end user instead of the image that they send. Those parts of the Internet of things are very useful to me. They simply need to be triaged. There are now toothbrushes, umbrellas, and other basic things that we use that are connected. I have difficulty understanding what the purpose of a connected umbrella is. The website advertises that if you forget your umbrella you get a notification. I’m not convinced at all. The same idea with the connected luggages. While it’s good when you lose your luggage to know where it is, I’m not sure how often you will be using that functionality. There is some big filtering to be done in this area and the users are starting to realise that not everything should be connected, as there is no point in doing so. The other trend that is associated with connected devices is the artificial intelligence and machine learning. This to me is the real innovation as long as simple rules are followed. The most important rule for an AI to revolutionize the life or work of someone is that the data it’s collecting is clean. There is an expression in the software industry that says “garbage in, garbage out.” The AI is not a magic tool that would change everything. It will help gradually to understand the amount of data that we have and to make it easily readable for humans. AI doesn’t work on its own. It relies on big data. AI has been around since the ‘50s. One of the first applications of AI was word processing following the scanning of a document. That was a great technology development but nowadays there isn’t a lot of documents that we scan and that we want to turn into text that can be processed. But that task has a specific purpose that the AI was able to tackle.","The world wide web is called what it is for good reason. In the modern world, it is inevitable that you will discover quite a lot of thought provoking technological advancements that have the ability to make your day to day life feel complete. This recently discovered societal pattern has leverage over the concept of the Internet of Things. These updated devices that were not able to be connected to the world wide web in the past are now able to be purchased in every retailer out there. This is something that became more and more popular as time progressed, and it was all motivated by the fitness bands that were invented a few years prior. These wearable pieces of tech are wrist or ankle bands that allow you to keep count of every step you take, and all of your general activity. When they were first produced, these devices were not very smart, and they did not have much power, but they were able to obtain a solid grasp at completing very simple tasks. Pedometers are what set off the inspiration for how fitness bands came about. The story of how these bands were developed is quite an impressive one. They are now able to provide quite a lot of features and applications. Though, the general public does not utilize them in a way that could be considered the full potential of their capabilities. Most users want to hit a certain amount of steps, or burn a certain amount of calories, and that’s about it.
The data that is provided by the types of bands we are currently discussing has the ability to be analyzed in such a way that would provide to the user the ability to deeply understand their day to day patterns and habits. Let’s say, for example, you happen to notice a band’s daily statistics, and see that the step count is lower than normal, you are then able to assume that someone is either sleeping or sedentary. The theoretical combination of the low amount of steps, along with other metrics, would be able to be calculated and provide you with the answer. But if we draw our attention to the steps taken by the user for the moment, you will come to notice that a majority of the time, individuals take on extremely similar patterns and habits. Their step count has the potential to be the same number every single time their day cycles. This is not an abnormal event, and in fact quite expected. With that information, we can construct a type of model that allows us the ability to have predictions of what the user is going to do. Let us say, for example, if a person is obligated to go to wherever they may work every morning at eight in the morning, for as long as they have that job, and go to it at the same time, the day that the step counting band does not rise in number during that time will give us the ability to make the determination that a break in the habit had happened. In order to gather more information, you are able to combine the step count with information such as the user’s heart rate. In today’s time, our fitness devices are able to display those markers, making it quite easily available. 
The user's heart beats per minute is even more powerful compared to the step counter. There are only a small number of moments that are able to be identified in the case of change of the heart rate. Either an individual is not sleeping and moving around, but not exercising, doing some sort of workout in the gym, or resting, lying down in bed. The last one out of that list is actually quite easily able to be identified. If you are able to correlate the heart’s beats per minute along with what the time of the day is, you are then able to assume that the individual is now sleeping with a good score for their confidence. There is another opportunity that the measurement of the heart’s beats per minute allows, which is to be able to identify if an individual is currently experiencing some sort of physical pressure, or under stress. By combining the two necessary ingredients, steps with the heart rate, you are then able to have a model that is quite accurate for any sort of activity one would be able to come up with. Let us say, for example, if the step count happens to be lower than normal, and the heart rate is lower than normal as well, it is quite easy to notice that the individual is not active, and in fact, sleeping. In the case of the heart rate being high but the step count being low, it is quite likely to be the user doing a gym exercise or on a treadmill. I have never in my life witnessed a person with low heart rate and a high step count,but I am able to infer that it would most likely be an athlete going for a run that does not have much impact on his or her heart’s beats per minute. 
The fear inducing possibility of making those pieces of technology gather more data than they did previously is noteworthy. The manufacturers have not used the entirety of the potential of the data that they are able to access. Instead of studying and taking notes on the information that they were able to gather, they have a tendency to rush into attaching even more sensors than they had before. Those sensors wind up not alwaying becoming the solution they are looking for. They happen to consume the device's battery fairly quickly, and so they have a chance of not being as ideal of an option as we may think it is. Though, it happens to be true that manufacturers need to have some sort of innovation in their products. But in my opinion, the innovation that really matters is making a product that has the ability to manipulate the data to talk, and actually being very good at using the technology that currently exists and allows you to keep moving and thinking forward. Having a comfortable and complete understanding of the basic technologies is a crucial element for the big companies of today. The brand new and shiny products that companies are distributing right now are not a real demonstration of the ways in which a company chooses to innovate. We have been able to make flexible screens for quite a large number of years, but the utilization of them as of right now has still yet to display any proof whatsoever. The department of Google that is mainly focused on innovation, which is called Google X, has come out with some nice pieces of tech from what they have done, though they can not be in any way, shape, or form usable by who they are attempting to sell products to. These actions do not lead to the future that is preferable for the sake of technological innovation, and the companies of our time should be more focused on the individuals they are attempting to directly sell their products to instead of how they look in terms of publicity. Those portions of the Internet of things are actually very useful for my interests. 
The solution is that they are simply required to be triaged. In today’s time there are now toothbrushes, umbrellas, refrigerators, dog collars, cat feeders, coffee machines, door locks, parking meters, mirrors, toys, and other rudimentary products that we use everyday that are connected. I do have difficulty in attempting to interpret what anyone would even want with an internet connected umbrella. The website states to the buyer that if you do not remember your umbrella while going outside in the rain, you then receive a notification. I am not sold in the slightest bit. This gives off the same idea with the internet connected pieces of luggage. While it is a helpful tool in the rare occasions you misplace your luggage, in order to know where it is, I am not certain if the hassle to implement that technology is worth how many times you will be using that function. There is a bit of large filtering to be accomplished in this area, causing the buyers of the products to begin to realize that not every item they buy should be connected to the internet, as there is very little to miss when you don’t have it. The other trend that has to do with internet connected pieces of technology is the artificial intelligence as well as machine learning. This, in my opinion, is the innovation that matters the most as long as rudimentary guidelines are listened to. The most important rule for an artificial intelligence to revolutionize the lifestyle or work habits of an individual is that the data it is collecting is not dirty in the slightest. There is a well known saying in the software industry that says “garbage in, garbage out.” Artificial intelligence is not a magic tool that has the ability to change everything on its own. It will help us in gradually understanding the exact amount of data that we have obtained and to make it easily readable for human beings. Artificial intelligence does not just complete tasks on its own. It is reliant on big data. Artificial Intelligence has been with us and within our tech since the nineteen fifties. One of the first ways people have applied artificial intelligence was through the invention of word processing following the scanning of a document. That happened to become a great technological development, but in this era there are not a great many documents that we are able to scan and that we would like to turn into text that is able to be processed. Though, that task has a specific reason for being that the artificial intelligence had the ability to tackle.











",Described more about the world wide web.,elaborate
